MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4
6/18/2026,6:00 PM,CV,POQ,SCM,,,29332,,
6/18/2026,6:00 PM,WO,WPPIR,SCM,,,29332,,
6/18/2026,6:00 PM,COL,MBKMT,SCM,,,29332,,
6/22/2026,6:00 PM,CV,WO,SCM,,,29332,,
6/22/2026,6:00 PM,MBKMT,WPPIR,SCM,,,29332,,
6/22/2026,6:00 PM,COL,POQ,SCM,,,29332,,
6/29/2026,6:00 PM,WO,POQ,SCM,,,29332,,
6/29/2026,6:00 PM,WPPIR,COL,SCM,,,29332,,
6/29/2026,6:00 PM,CV,MBKMT,SCM,,,29332,,
7/13/2026,6:00 PM,POQ,WPPIR,SCM,,,29332,,
7/13/2026,6:00 PM,MBKMT,WO,SCM,,,29332,,
7/13/2026,6:00 PM,COL,CV,SCM,,,29332,,
7/20/2026,6:00 PM,POQ,MBKMT,SCM,,,29332,,
7/20/2026,6:00 PM,WO,COL,SCM,,,29332,,
7/20/2026,6:00 PM,WPPIR,CV,SCM,,,29332,,
