MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4
6/15/2026,6:00 PM,KCD,RMMR,SCM,,,29332,,
6/15/2026,6:00 PM,WYCC,WW,SCM,,,29332,,
6/15/2026,6:00 PM,GG,HW,SCM,,,29332,,
6/22/2026,6:00 PM,RMMR,WW,SCM,,,29332,,
6/22/2026,6:00 PM,HW,WYCC,SCM,,,29332,,
6/22/2026,6:00 PM,KCD,GG,SCM,,,29332,,
6/29/2026,6:00 PM,WYCC,RMMR,SCM,,,29332,,
6/29/2026,6:00 PM,WW,GG,SCM,,,29332,,
6/29/2026,6:00 PM,KCD,HW,SCM,,,29332,,
7/6/2026,6:00 PM,WYCC,KCD,SCM,,,29332,,
7/13/2026,6:00 PM,HW,RMMR,SCM,,,29332,,
7/13/2026,6:00 PM,GG,WYCC,SCM,,,29332,,
7/13/2026,6:00 PM,WW,KCD,SCM,,,29332,,
7/20/2026,6:00 PM,RMMR,GG,SCM,,,29332,,
7/20/2026,6:00 PM,HW,WW,SCM,,,29332,,
